,questions,answers
0,What is sustainability?,"The word sustainability comes from ‘to sustain’, which essentially means to provide support and prolong or preserve something. What we hope to preserve and support is life on planet earth. Thinking about this definition, we can view sustainability as an approach to life that causes the least possible harm to the natural world or living organisms."
1,Why is sustainability important?,"The main goal of sustainability is to protect the planet so that future generations don’t have to suffer. Ultimately, we only have finite resources on this planet, but we’re currently not being considerate of that. Our actions now shouldn’t be at the expense of our fellow creatures or humans, so it’s important to be aware of sustainability in our daily lives so we don’t cause more irreparable damage to Earth."
2,What are the 3 pillars of sustainability?,"The three pillars of sustainability are the three most fundamental aspects of sustainability, and they are environment, economy and society. All of them, directly and indirectly, impact each other – none of these pillars stand alone. This is why it’s important to consider everything when we’re talking about sustainability, from materials and wastage to human treatment and working conditions."
3,What are some examples of sustainability?,"There are so many different ways to be sustainable. One example is green energy – wind power, for example, is a free, natural, and infinite resource that doesn’t cause harm to others, but does help to keep society functioning. Another good example is creating, maintaining and looking after green spaces. This is because green spaces and plants improve air quality, protect water quality and reduce soil erosion, to name a few benefits."
4,How do you teach sustainability?,"Sustainability should be taught to young children so that they embed healthy practices into their everyday lives without even thinking about it. For example, teaching them about composting, recycling, caring about animals and plants, and shopping second hand from a young age. In later life, there are so many great resources, videos and sustainability courses that can teach people how to live more sustainably."
5,What are the benefits of sustainability?,"The benefits of sustainability are countless, but to simplify this answer, we’ll break it down into thinking about the three pillars of sustainability. Sustainable practice benefits the environment by conserving and looking after Earth’s resources, preventing global warming and extreme weather, and protecting lives. It benefits the economy by reducing wasted time, effort and power and finding a balance between growth and responsibility. It benefits society by building up communities and supporting those who are most vulnerable."
6,Is being sustainable difficult?,"It’s not always easy trying to make sustainable choices in a society where overconsumption and endless consumerism is encouraged, not only by the world’s biggest corporations, but also by some governments. However, more companies and governments are paying attention to sustainability than ever before, making it easier to make more informed and ethical choices. It may require a bit more research, but the benefits are endless."
7,Do you need to be rich to be sustainable?,"You may have noticed that a lot of sustainable shops, whether they’re selling clothes, food or skincare, are pretty expensive. This makes it appear quite costly to be sustainable, but it needn’t be the case. A lot of sustainable practices actually originated from a desire to save money; for example, using less energy, not buying unnecessary products and not wasting food. In addition, indigenous people are some of the most sustainable of all, despite having little money or material possessions."
8,Where can I learn more about sustainability?,"Whether you’re a new learner or someone looking to make your business more sustainable, FutureLearn offers flexible online sustainability courses that allow you to study the subject so that you can improve your understanding and potentially make important life changes. From sustainable construction and development, to how we can create sustainable energy systems, now is the time to explore this fascinating topic."
9,What sustainability certifications or frameworks exist?,"This depends greatly on the area you’re interested in learning more about. You can find out about sustainable fashion certifications, sustainable food certifications, and more online. Certifications and frameworks help you to find companies that you trust, and you can then recommend to others who want to start their sustainability journey."
